filename,E_eff,nu_eff
microstructure_07411.npy,3970090373.771504,0.17654220070515045
microstructure_06173.npy,4093465238.954821,0.19098997664920545
microstructure_08893.npy,4140813173.6121616,0.17958816292747193
microstructure_02682.npy,1264032892.07788,0.1926724172832594
microstructure_05982.npy,2906281623.6010275,0.18391443850295858
microstructure_04342.npy,4138198693.0872927,0.1653015387479555
microstructure_05048.npy,3856862428.58386,0.1648350617812499
microstructure_03991.npy,4248178254.858285,0.18742034608112135
microstructure_03552.npy,3519670114.531447,0.18101073524570857
microstructure_03210.npy,2298660082.7519574,0.19885642765698452
microstructure_06926.npy,4039938343.027673,0.18335254949786228
microstructure_06094.npy,1608528297.7603376,0.20315441899820155
microstructure_08654.npy,1316965227.1684508,0.19017177273453356
microstructure_01416.npy,2439713823.8681383,0.19312929496117232
microstructure_00548.npy,1700151263.6021295,0.19740513351328695
microstructure_09564.npy,2660824688.1991773,0.16400019035918953
microstructure_03039.npy,2610549188.124779,0.19272884274126553
microstructure_01671.npy,2296484670.496617,0.19940299433175787
microstructure_08824.npy,3537626338.9061375,0.17513778515752473
microstructure_01529.npy,3557475416.153821,0.18585226259593274
microstructure_05236.npy,4943301126.733863,0.1692696052048253
microstructure_05299.npy,1790495671.973504,0.19235237362580437
microstructure_01347.npy,4173574226.0162563,0.17899527789629618
microstructure_05162.npy,2542725185.527798,0.18589894395268255
microstructure_01207.npy,1534102726.138363,0.19628154476545287
microstructure_04191.npy,3975352842.274306,0.17645443972659342
microstructure_04947.npy,2015764678.4660964,0.19767745140622117
microstructure_04361.npy,3969503905.5553813,0.17673142064815414
microstructure_02835.npy,3131379502.149203,0.1747436362447491
microstructure_00720.npy,4642505253.875174,0.1852629883457967
microstructure_00137.npy,2546502727.494481,0.19193619472675952
microstructure_04631.npy,3580089716.816576,0.1821824770610155
microstructure_07530.npy,1647538273.2315843,0.19761546438063943
microstructure_07044.npy,1189454345.0010793,0.20307035279550456
microstructure_00108.npy,2930885478.6506157,0.18471234028368627
microstructure_09860.npy,1956787828.4858172,0.19134215055953216
microstructure_08822.npy,1288145876.845825,0.19768357123743863
microstructure_01058.npy,4535392402.755178,0.17473753205492384
microstructure_05087.npy,1467355674.9978418,0.2058481024400534
microstructure_01288.npy,1231491921.5448701,0.19531197867497063
microstructure_04283.npy,2582248452.297528,0.15074950836024179
microstructure_00999.npy,4260036879.8880816,0.1865393396465043
microstructure_09877.npy,2191723989.4031696,0.19153899719574183
microstructure_04153.npy,2094138973.9055512,0.20081489455979024
microstructure_06143.npy,3740366768.4058824,0.17778464858727738
microstructure_02763.npy,1385495879.4587827,0.19761230407364555
microstructure_01266.npy,1213061316.51667,0.19483347839695933
microstructure_09780.npy,1288886947.9040847,0.2076760366779548
microstructure_04294.npy,1843846793.012138,0.20177943046074354
microstructure_02336.npy,4286652607.2806487,0.17649497827735747
microstructure_09331.npy,1365247919.9820466,0.1994519960173724
microstructure_04130.npy,2683572486.9055424,0.20167474793488496
microstructure_01344.npy,3759601065.4623036,0.17729549814682655
microstructure_07607.npy,4394323298.274623,0.17720032125248958
microstructure_08127.npy,1813627782.3364458,0.19452861461354426
microstructure_03383.npy,4517770074.57485,0.18548717053114727
microstructure_01757.npy,2455844818.8400245,0.1813690990104045
microstructure_04860.npy,2049128808.5613983,0.18648050081930106
microstructure_01624.npy,4070493911.701467,0.17774484401247212
microstructure_01677.npy,3721502640.8039823,0.18680632372496592
microstructure_01708.npy,2824960585.098129,0.18327216198100474
microstructure_08957.npy,1992885237.531945,0.18511280222958937
microstructure_02885.npy,4824538211.227168,0.17119361216528278
microstructure_07298.npy,1913271583.0733106,0.17878043936835822
microstructure_06058.npy,3799272357.9448886,0.1612676242431569
microstructure_01980.npy,4697698311.970635,0.18629173773311314
microstructure_02869.npy,3551086496.153584,0.17536360057860995
microstructure_02102.npy,1785812616.681722,0.18575836914944724
microstructure_02064.npy,3173921183.302975,0.1857170200621457
microstructure_07179.npy,4060757015.6531286,0.18343534744053763
microstructure_06511.npy,3847276629.9148145,0.18114914383791994
microstructure_09985.npy,1848073548.6649323,0.1825016468330414
microstructure_00592.npy,4411446611.759752,0.17726108791869866
microstructure_06445.npy,2942332711.9120064,0.1880481816318737
microstructure_01887.npy,2839059030.4973087,0.18537523156044247
microstructure_08961.npy,2839595589.528633,0.18379733906862727
microstructure_07657.npy,4015977247.3942137,0.1814917113099615
microstructure_00315.npy,3090729902.736178,0.16790879114797047
microstructure_00120.npy,1458957234.401735,0.19635779968772357
microstructure_03604.npy,2046151359.0377078,0.19589779368884797
microstructure_06807.npy,2686540651.2492547,0.18236272309301535
microstructure_05503.npy,2741649841.0274744,0.19149235790063077
microstructure_03177.npy,4272650988.758941,0.1767533135396163
microstructure_04179.npy,4328234010.600555,0.1821379939193847
microstructure_04181.npy,3744969034.290468,0.17872975884594253
microstructure_05864.npy,1993406100.817577,0.20251230390636124
microstructure_08899.npy,3928105566.048302,0.18153537588544894
microstructure_08879.npy,3086374520.046665,0.1601490708343582
microstructure_00129.npy,2408725591.1999583,0.18814099641603124
microstructure_01199.npy,4189629200.1107006,0.1797049243899655
microstructure_06418.npy,1509299966.8139718,0.19061966883351056
microstructure_03044.npy,1546531419.0320058,0.202739521284694
microstructure_09610.npy,3998455582.788854,0.18755804825971298
microstructure_08724.npy,3922105239.28253,0.18381398051961673
microstructure_02540.npy,4186390413.90903,0.17656897384177914
microstructure_09728.npy,1509831659.9600666,0.20056317008548746
microstructure_00209.npy,1823152478.3146696,0.18972941965882617
microstructure_01214.npy,4181042299.9374757,0.1878465367789322
microstructure_07613.npy,2823584598.7588034,0.18907895628461524
microstructure_04150.npy,1292972685.5616546,0.19007520220976146
microstructure_01889.npy,1471826334.4910169,0.17643466775951816
microstructure_08052.npy,4110915041.4281225,0.18222431088072455
microstructure_03962.npy,1175367997.5827062,0.1985275686636272
microstructure_06872.npy,1308907045.6598573,0.1898052059728266
microstructure_08958.npy,3854161654.1083584,0.18664789860147984
